term,levels,df,sum_squares,variance_share,mean_square
model,13,12,190.2684294871795,0.1534738439896413,15.85570245726496
frame,4,3,434.55669070512823,0.3505210293357024,144.85223023504275
game,2,1,53.54346955128207,0.04318909928844123,53.54346955128207
domain,6,5,5.702924679487185,0.00460007881971437,1.140584935897437
presentation,2,1,0.08834134615384436,7.125767534841384e-05,0.08834134615384436
model_frame_interaction,52,36,119.28445512820515,0.09621692839993236,3.3134570868945876
residual_interactions_and_unmodeled,,4933,436.3006810897434,0.35192776249121993,0.0884453032819265
total,,4991,1239.7449919871794,1.0,
